Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
18,tanh,rmsprop,,,0.001,0.9164999723434448,0.33880046010017395,0.9071999788284302,0.3561788499355316
26,tanh,rmsprop,0.3,,,0.9143333435058594,0.2513695955276489,0.9059000015258789,0.2698533236980438
35,tanh,rmsprop,0.5,,,0.9126666784286499,0.24482151865959167,0.9089999794960022,0.26344236731529236
17,tanh,rmsprop,,,,0.906333327293396,0.2650471329689026,0.8959000110626221,0.2898649573326111
9,tanh,sgd,0.5,,0.001,0.9051666855812073,0.539425790309906,0.8963000178337097,0.5508221983909607
8,tanh,sgd,0.5,,,0.9043333530426025,0.2665756344795227,0.8986999988555908,0.28297242522239685
27,tanh,rmsprop,0.3,,0.001,0.9008333086967468,0.3922252953052521,0.8985999822616577,0.4112020432949066
36,tanh,rmsprop,0.5,,0.001,0.8991666436195374,0.43334782123565674,0.8901000022888184,0.45729199051856995
19,tanh,rmsprop,,,0.005,0.8913333415985107,0.425708532333374,0.8784999847412109,0.4510253071784973
1,tanh,sgd,0.3,,0.005,0.8911666870117188,0.5234680771827698,0.8809000253677368,0.5337969064712524
10,tanh,sgd,0.5,,0.005,0.8896666765213013,0.5135034322738647,0.8819000124931335,0.5302602648735046
21,tanh,rmsprop,,0.001,0.001,0.8809999823570251,1.2613269090652466,0.8716999888420105,1.28005051612854
20,tanh,rmsprop,,0.001,,0.8809999823570251,1.2638074159622192,0.8792999982833862,1.2780121564865112
29,tanh,rmsprop,0.3,0.001,,0.878166675567627,1.3207355737686157,0.8666999936103821,1.341925859451294
28,tanh,rmsprop,0.3,,0.005,0.8773333430290222,0.47693684697151184,0.8675000071525574,0.49760112166404724
37,tanh,rmsprop,0.5,,0.005,0.8773333430290222,0.49976280331611633,0.8666999936103821,0.5176539421081543
30,tanh,rmsprop,0.3,0.001,0.001,0.8741666674613953,1.2943278551101685,0.8676999807357788,1.3163949251174927
39,tanh,rmsprop,0.5,0.001,0.001,0.8738333582878113,1.385076880455017,0.8616999983787537,1.4060636758804321
12,tanh,sgd,0.5,0.001,0.001,0.8733333349227905,0.6994855999946594,0.8525999784469604,0.7216979265213013
2,tanh,sgd,0.3,0.001,,0.8690000176429749,0.7146973609924316,0.859000027179718,0.7337125539779663
11,tanh,sgd,0.5,0.001,,0.8690000176429749,0.6847779750823975,0.855400025844574,0.7037875056266785
3,tanh,sgd,0.3,0.001,0.001,0.8644999861717224,0.7395222187042236,0.8463000059127808,0.7607674598693848
31,tanh,rmsprop,0.3,0.001,0.005,0.8640000224113464,1.3765335083007812,0.8514000177383423,1.3966063261032104
22,tanh,rmsprop,,0.001,0.005,0.8638333082199097,1.3294888734817505,0.8593000173568726,1.350459098815918
38,tanh,rmsprop,0.5,0.001,,0.8610000014305115,1.5024522542953491,0.8535000085830688,1.524999976158142
13,tanh,sgd,0.5,0.001,0.005,0.859000027179718,0.7065719366073608,0.845300018787384,0.728070855140686
40,tanh,rmsprop,0.5,0.001,0.005,0.8581666946411133,1.4428590536117554,0.8417999744415283,1.4682786464691162
4,tanh,sgd,0.3,0.001,0.005,0.8541666865348816,0.7024654150009155,0.8389000296592712,0.7241697311401367
24,tanh,rmsprop,,0.005,0.001,0.8503333330154419,4.760016441345215,0.8295000195503235,4.780544757843018
23,tanh,rmsprop,,0.005,,0.8349999785423279,4.714432716369629,0.8148000240325928,4.739340782165527
25,tanh,rmsprop,,0.005,0.005,0.8303333520889282,4.728145599365234,0.8086000084877014,4.7620978355407715
42,tanh,rmsprop,0.5,0.005,0.001,0.8273333311080933,4.889549255371094,0.8151000142097473,4.914311408996582
32,tanh,rmsprop,0.3,0.005,,0.8243333101272583,4.83619499206543,0.8051999807357788,4.864960670471191
33,tanh,rmsprop,0.3,0.005,0.001,0.8198333382606506,4.897573471069336,0.792900025844574,4.933015823364258
41,tanh,rmsprop,0.5,0.005,,0.8183333277702332,4.91442346572876,0.8062000274658203,4.93739652633667
15,tanh,sgd,0.5,0.005,0.001,0.8166666626930237,1.122764229774475,0.801800012588501,1.1474171876907349
34,tanh,rmsprop,0.3,0.005,0.005,0.8115000128746033,4.880998611450195,0.7968999743461609,4.901427745819092
43,tanh,rmsprop,0.5,0.005,0.005,0.8111666440963745,5.011697292327881,0.7882999777793884,5.0400471687316895
6,tanh,sgd,0.3,0.005,0.001,0.8108333349227905,1.090491771697998,0.7940999865531921,1.1152807474136353
5,tanh,sgd,0.3,0.005,,0.8098333477973938,1.0836725234985352,0.796500027179718,1.1056121587753296
14,tanh,sgd,0.5,0.005,,0.809333324432373,1.1604912281036377,0.7906000018119812,1.185028076171875
16,tanh,sgd,0.5,0.005,0.005,0.8028333187103271,1.1201951503753662,0.7875000238418579,1.1419110298156738
7,tanh,sgd,0.3,0.005,0.005,0.8015000224113464,1.10611093044281,0.7821999788284302,1.1329686641693115
