Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
5,LeakyReLU,rmsprop,0.5,,,0.9228333234786987,0.2339373379945755,0.9052000045776367,0.25848188996315
41,tanh,sgd,,,,0.9176666736602783,0.2373046875,0.9101999998092651,0.2533950209617615
6,LeakyReLU,rmsprop,0.5,,0.001,0.9151666760444641,0.384673148393631,0.9050999879837036,0.4124208986759186
42,tanh,sgd,,,0.001,0.9128333330154419,0.5128750205039978,0.907800018787384,0.5279676914215088
50,tanh,sgd,0.3,,,0.9096666574478149,0.25645288825035095,0.895799994468689,0.2770208418369293
23,tanh,adam,0.3,,,0.909166693687439,0.2558405101299286,0.8989999890327454,0.28181734681129456
15,tanh,adam,,,0.001,0.9089999794960022,0.3861640691757202,0.9014000296592712,0.4035339951515198
14,tanh,adam,,,,0.9079999923706055,0.26406124234199524,0.897599995136261,0.2900230586528778
51,tanh,sgd,0.3,,0.001,0.9053333401679993,0.5380639433860779,0.9021000266075134,0.5483288764953613
24,tanh,adam,0.3,,0.001,0.9053333401679993,0.4037154018878937,0.8968999981880188,0.42292091250419617
32,tanh,adam,0.5,,,0.9036666750907898,0.27139338850975037,0.8960999846458435,0.2879641652107239
33,tanh,adam,0.5,,0.001,0.8974999785423279,0.48160070180892944,0.8884000182151794,0.507185161113739
43,tanh,sgd,,,0.005,0.8939999938011169,0.5079552531242371,0.8754000067710876,0.5314124226570129
17,tanh,adam,,0.001,,0.8931666612625122,0.6635019183158875,0.8842999935150146,0.6802244782447815
16,tanh,adam,,,0.005,0.8918333053588867,0.43308964371681213,0.8833000063896179,0.4476906657218933
18,tanh,adam,,0.001,0.001,0.8881666660308838,0.6886714696884155,0.8809999823570251,0.7008967995643616
7,LeakyReLU,rmsprop,0.5,,0.005,0.8855000138282776,0.5161561965942383,0.8763999938964844,0.5432567596435547
25,tanh,adam,0.3,,0.005,0.8820000290870667,0.5116625428199768,0.8702999949455261,0.535719096660614
34,tanh,adam,0.5,,0.005,0.8815000057220459,0.49341362714767456,0.8715999722480774,0.513459324836731
27,tanh,adam,0.3,0.001,0.001,0.8778333067893982,0.7674745321273804,0.867900013923645,0.78290194272995
36,tanh,adam,0.5,0.001,0.001,0.8778333067893982,0.8629077076911926,0.8666999936103821,0.8793188333511353
19,tanh,adam,,0.001,0.005,0.8778333067893982,0.7056819796562195,0.8705000281333923,0.7194549441337585
26,tanh,adam,0.3,0.001,,0.8774999976158142,0.8123391270637512,0.869700014591217,0.8230133056640625
35,tanh,adam,0.5,0.001,,0.8733333349227905,0.9536609053611755,0.8600999712944031,0.9821630120277405
28,tanh,adam,0.3,0.001,0.005,0.8731666803359985,0.7862627506256104,0.8586999773979187,0.7982982993125916
45,tanh,sgd,,0.001,0.001,0.8723333477973938,0.6641148924827576,0.8537999987602234,0.6875094771385193
8,LeakyReLU,rmsprop,0.5,0.001,,0.8665000200271606,1.4364104270935059,0.8611999750137329,1.4501234292984009
37,tanh,adam,0.5,0.001,0.005,0.8656666874885559,0.9451322555541992,0.8429999947547913,0.9661107659339905
1,LeakyReLU,rmsprop,0.3,0.001,0.005,0.8643333315849304,1.390023946762085,0.8528000116348267,1.417446494102478
9,LeakyReLU,rmsprop,0.5,0.001,0.001,0.8640000224113464,1.4002643823623657,0.8560000061988831,1.4128787517547607
44,tanh,sgd,,0.001,,0.862500011920929,0.6974778771400452,0.8496999740600586,0.7186380624771118
46,tanh,sgd,,0.001,0.005,0.8575000166893005,0.6963376402854919,0.8424999713897705,0.7210791707038879
20,tanh,adam,,0.005,,0.8501666784286499,1.5392563343048096,0.8373000025749207,1.5551203489303589
10,LeakyReLU,rmsprop,0.5,0.001,0.005,0.8443333506584167,1.470257043838501,0.8324999809265137,1.4954442977905273
30,tanh,adam,0.3,0.005,0.001,0.8349999785423279,1.7211017608642578,0.8141999840736389,1.7550920248031616
21,tanh,adam,,0.005,0.001,0.8346666693687439,1.696315050125122,0.8148000240325928,1.7225286960601807
29,tanh,adam,0.3,0.005,,0.8345000147819519,1.6583114862442017,0.8256999850273132,1.678841233253479
40,tanh,adam,0.5,0.005,0.005,0.8324999809265137,1.8484692573547363,0.8111000061035156,1.8747806549072266
2,LeakyReLU,rmsprop,0.3,0.005,,0.831333339214325,4.768758296966553,0.8184999823570251,4.789647102355957
31,tanh,adam,0.3,0.005,0.005,0.8301666378974915,1.7281386852264404,0.8126999735832214,1.7542543411254883
22,tanh,adam,,0.005,0.005,0.8271666765213013,1.720770001411438,0.8119999766349792,1.748939871788025
38,tanh,adam,0.5,0.005,,0.8270000219345093,1.913698434829712,0.8008999824523926,1.9395816326141357
4,LeakyReLU,rmsprop,0.3,0.005,0.005,0.824999988079071,4.812593936920166,0.8179000020027161,4.831246376037598
39,tanh,adam,0.5,0.005,0.001,0.8241666555404663,1.931153655052185,0.8032000064849854,1.9536303281784058
12,LeakyReLU,rmsprop,0.5,0.005,0.001,0.8209999799728394,4.893679141998291,0.8011999726295471,4.918426036834717
3,LeakyReLU,rmsprop,0.3,0.005,0.001,0.8198333382606506,4.820618152618408,0.8016999959945679,4.840169429779053
48,tanh,sgd,,0.005,0.001,0.8180000185966492,1.036466360092163,0.8026999831199646,1.0613826513290405
47,tanh,sgd,,0.005,,0.8166666626930237,1.0808603763580322,0.7993999719619751,1.1047157049179077
13,LeakyReLU,rmsprop,0.5,0.005,0.005,0.8140000104904175,4.8890910148620605,0.795799970626831,4.915192604064941
49,tanh,sgd,,0.005,0.005,0.8138333559036255,1.056929588317871,0.7940999865531921,1.0850811004638672
11,LeakyReLU,rmsprop,0.5,0.005,,0.8066666722297668,4.919808387756348,0.7972999811172485,4.946038246154785
