Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
109,LeakyReLU,adam,,,,0.8978333473205566,0.2932984530925751,0.885200023651123,0.32139652967453003
10,relu,adam,0.2,,,0.8964999914169312,0.28662756085395813,0.8812999725341797,0.3249146044254303
181,LeakyReLU,rmsprop,,,,0.8926666378974915,0.3005225360393524,0.8855999708175659,0.328384131193161
226,tanh,adam,0.2,,,0.8923333287239075,0.29098063707351685,0.8849999904632568,0.3218497931957245
19,relu,adam,0.3,,,0.8921666741371155,0.2982996106147766,0.8827000260353088,0.328018456697464
118,LeakyReLU,adam,0.2,,,0.8916666507720947,0.29892536997795105,0.8802000284194946,0.33345547318458557
1,relu,adam,,,,0.8914999961853027,0.29132190346717834,0.8812999725341797,0.32292887568473816
199,LeakyReLU,rmsprop,0.3,,,0.8913333415985107,0.3186133801937103,0.8790000081062317,0.3430195450782776
217,tanh,adam,,,,0.8911666870117188,0.2940449118614197,0.8830000162124634,0.32730934023857117
127,LeakyReLU,adam,0.3,,,0.8886666893959045,0.31236860156059265,0.873199999332428,0.3476133346557617
298,tanh,rmsprop,0.2,,,0.8881666660308838,0.3018176555633545,0.8808000087738037,0.3280385732650757
190,LeakyReLU,rmsprop,0.2,,,0.8878333568572998,0.3205438554286957,0.8738999962806702,0.35515108704566956
73,relu,rmsprop,,,,0.887666642665863,0.30724242329597473,0.8809999823570251,0.3325098752975464
307,tanh,rmsprop,0.3,,,0.887666642665863,0.31079795956611633,0.8765000104904175,0.3374406397342682
28,relu,adam,0.5,,,0.887333333492279,0.30764004588127136,0.878000020980835,0.3464677035808563
82,relu,rmsprop,0.2,,,0.8871666789054871,0.31504541635513306,0.8766000270843506,0.3437444567680359
235,tanh,adam,0.3,,,0.8851666450500488,0.3151228129863739,0.8759999871253967,0.3428228199481964
91,relu,rmsprop,0.3,,,0.8846666812896729,0.3165489733219147,0.8769999742507935,0.34815409779548645
136,LeakyReLU,adam,0.5,,,0.8841666579246521,0.31955575942993164,0.8755000233650208,0.3507290780544281
100,relu,rmsprop,0.5,,,0.8840000033378601,0.3420799970626831,0.8748000264167786,0.3663753867149353
208,LeakyReLU,rmsprop,0.5,,,0.8838333487510681,0.34590384364128113,0.8708999752998352,0.3767002820968628
289,tanh,rmsprop,,,,0.8833333253860474,0.3200380802154541,0.8715999722480774,0.35013526678085327
